State,pro_rust_nosw
alabama,0.0006686233887263864
arizona,0.0019070569922678825
arkansas,0.00045955882352941176
california,0.003494679938189596
colorado,0.0014011759316463245
connecticut,0.0009278337860064311
dc,0.0037504337062199637
etc,0.002684143927040783
florida,0.00426870408805367
foreign,0.007593512571409405
georgia,0.0006871836281318888
hawaii,0.009685230024213076
illinois,0.0034066333736994577
indiana,0.0021460191802099527
iowa,0.002251638121525137
kansas,0.003006614552014432
kentucky,0.0015589181653466561
louisiana,0.001343011097494056
maine,0.0025234318673395817
maryland,0.0013173787794725274
massachusetts,0.0033163932204874538
michigan,0.0024466317280479157
minnesota,0.0025960354151003417
mississippi,0.001774937877174299
missouri,0.0021205097464305793
montana,0.0011240164855751218
multiple,0.0013522113318866595
nation,0.0011613140380746013
nevada,0.001989556988226794
new hampshire,0.002308987321710268
new jersey,0.0018511916551132237
new mexico,0.001588222346137628
new york,0.002814386630202439
north carolina,0.0024170069020912122
north dakota,0.0004492362982929021
ohio,0.002099492379755222
oklahoma,0.0016835016835016834
oregon,0.0008457158364662418
pennsylvania,0.002414364521854007
puerto rico,0.0016285763359374593
south carolina,0.0016092129920608693
tennessee,0.001770849980903262
texas,0.0034828272245110304
utah,0.014844804318488529
vermont,0.006158669036334913
virginia,0.0021102030832578634
washington,0.000784313725490196
west virginia,0.0011975005754411522
wisconsin,0.001519820280886169
