"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","cain","herman","pursuit","dodd","alter","atlanta","hill","vision","happi","olymp"
"2","huntsman","trust","gentlemen","jon","relationship","ladi","abroad","fuel","presenc","monopoli"
"3","ron","paul","monetari","gold","bail","print","liberti","money","king","reserv"
"4","colleg","michell","auto","member","bet","everybodi","audienc","got","outstand","weve"
"5","assad","arab","democraci","truth","regim","minnesota","libya","protest","subsidi","syria"
"6","karen","santorum","pennsylvania","someon","race","missouri","counti","town","rick","michigan"
"7","adam","waterloo","bachmann","treati","michel","settl","choos","marriag","republ","repeal"
"8","gingrich","newt","gasolin","quot","speaker","gallon","pipelin","laugh","report","format"
"9","perri","explor","texa","broken","employ","downgrad","gov","environment","epa","greater"
"10","mitt","flag","romney","usa","number","boy","ryan","kid","school","hes"
